region,date,time,temperature,phosphate,nitrate,silicate
Elbe Estuary,20.03.18,12:00:00,7.3064,1.069318,19.74528,7.4605571
Elbe Estuary,21.03.18,12:00:00,6.9998,0.934611,20.20872,7.086619
Elbe Estuary,22.03.18,12:00:00,7.5616,1.016613,21.23216,5.9950528
Elbe Estuary,23.03.18,12:00:00,7.3993,0.910119,22.68255,6.618672
Elbe Estuary,24.03.18,12:00:00,7.7138,1.028485,20.64946,3.7942429
Elbe Estuary,25.03.18,12:00:00,7.5402,0.852342,25.13668,4.517867
Elbe Estuary,26.03.18,12:00:00,8.2493,0.910019,20.57307,6.0500085
Elbe Estuary,27.3.18,12:00:00,8.1707,1.029,16.00049,4.7786985
English Channel,20.03.18,12:00:00,11.9314,0.10434,9.804059,3.2364168
English Channel,21.03.18,12:00:00,12.167,0.076549,7.745095,3.2646091
English Channel,22.03.18,12:00:00,12.5601,0.104175,12.007747,3.3137309
English Channel,23.03.18,12:00:00,12.2553,0.11851,11.129269,3.24055
English Channel,24.03.18,12:00:00,12.6927,0.087109,11.677393,3.3419111
English Channel,25.03.18,12:00:00,12.5364,0.088434,8.813085,2.7196265
English Channel,26.03.18,12:00:00,12.8699,0.090529,11.344787,3.2122767
English Channel,27.3.18,12:00:00,13.1718,0.064156,10.564154,3.4363141
Irish Sea,20.03.18,12:00:00,11.0586,0.354009,4.21251,1.3617173
Irish Sea,21.03.18,12:00:00,11.3071,0.244037,3.985963,1.9185918
Irish Sea,22.03.18,12:00:00,11.6034,0.208204,5.547207,2.0041295
Irish Sea,23.03.18,12:00:00,11.4885,0.363567,5.958148,1.8183716
Irish Sea,24.03.18,12:00:00,11.4862,0.344209,4.919692,1.8997874
Irish Sea,25.03.18,12:00:00,11.7141,0.33603,4.174257,1.9345277
Irish Sea,26.03.18,12:00:00,11.8421,0.381273,5.916535,1.7603811
Irish Sea,27.3.18,12:00:00,12.1647,0.293855,3.856812,2.4186837
Norwegian Trench,20.03.18,12:00:00,4.8507,0.075617,10.552205,0.8847674
Norwegian Trench,21.03.18,12:00:00,5.2864,0.110722,11.337819,1.0664298
Norwegian Trench,22.03.18,12:00:00,5.2858,0.095627,11.538608,0.9248176
Norwegian Trench,23.03.18,12:00:00,5.6304,0.098503,9.289853,0.9121424
Norwegian Trench,24.03.18,12:00:00,5.8159,0.100584,6.818473,0.8892808
Norwegian Trench,25.03.18,12:00:00,6.016,0.104155,7.628612,1.1913365
Norwegian Trench,26.03.18,12:00:00,5.9297,0.070105,9.598395,1.0311219
Norwegian Trench,27.3.18,12:00:00,6.0067,0.135262,11.351974,0.9130016