date,time,latitude,longitude,region,exposure,richness,temperature,phosphate,nitrate,silicate
20.03.18,12:00,"53,90433","8,78906",Elbe Estuary,low,15,"7,306400","1,069318","19,74528","7,4605571"
21.03.18,12:00,"53,90433","8,78906",Elbe Estuary,low,15,"6,999800","0,934611","20,20872","7,086619"
22.03.18,12:00,"53,90433","8,78906",Elbe Estuary,low,15,"7,561600","1,016613","21,23216","5,9950528"
23.03.18,12:00,"53,90433","8,78906",Elbe Estuary,low,15,"7,399300","0,910119","22,68255","6,618672"
24.03.18,12:00,"53,90433","8,78906",Elbe Estuary,low,15,"7,713800","1,028485","20,64946","3,7942429"
25.03.18,12:00,"53,90433","8,78906",Elbe Estuary,low,15,"7,540200","0,852342","25,13668","4,517867"
26.03.18,12:00,"53,90433","8,78906",Elbe Estuary,low,15,"8,249300","0,910019","20,57307","6,0500085"
27.3.18,12:00,"53,90433","8,78906",Elbe Estuary,low,15,"8,170700","1,029000","16,00049","4,7786985"
20.03.18,12:00,"49,39667","-3,95507",English Channel,low,24,"11,931400","0,104340","9,804059","3,2364168"
21.03.18,12:00,"49,39667","-3,95507",English Channel,low,24,"12,167000","0,076549","7,745095","3,2646091"
22.03.18,12:00,"49,39667","-3,95507",English Channel,low,24,"12,560100","0,104175","12,007747","3,3137309"
23.03.18,12:00,"49,39667","-3,95507",English Channel,low,24,"12,255300","0,118510","11,129269","3,24055"
24.03.18,12:00,"49,39667","-3,95507",English Channel,low,24,"12,692700","0,087109","11,677393","3,3419111"
25.03.18,12:00,"49,39667","-3,95507",English Channel,low,24,"12,536400","0,088434","8,813085","2,7196265"
26.03.18,12:00,"49,39667","-3,95507",English Channel,low,24,"12,869900","0,090529","11,344787","3,2122767"
27.3.18,12:00,"49,39667","-3,95507",English Channel,low,24,"13,171800","0,064156","10,564154","3,4363141"
20.03.18,12:00,"53,29477","-5,14160",Irish Sea,high,30,"11,058600","0,354009","4,21251","1,3617173"
21.03.18,12:00,"53,29477","-5,14160",Irish Sea,high,30,"11,307100","0,244037","3,985963","1,9185918"
22.03.18,12:00,"53,29477","-5,14160",Irish Sea,high,30,"11,603400","0,208204","5,547207","2,0041295"
23.03.18,12:00,"53,29477","-5,14160",Irish Sea,high,30,"11,488500","0,363567","5,958148","1,8183716"
24.03.18,12:00,"53,29477","-5,14160",Irish Sea,high,30,"11,486200","0,344209","4,919692","1,8997874"
25.03.18,12:00,"53,29477","-5,14160",Irish Sea,high,30,"11,714100","0,336030","4,174257","1,9345277"
26.03.18,12:00,"53,29477","-5,14160",Irish Sea,high,30,"11,842100","0,381273","5,916535","1,7603811"
27.3.18,12:00,"53,29477","-5,14160",Irish Sea,high,30,"12,164700","0,293855","3,856812","2,4186837"
20.03.18,12:00,"58,28639","4,98779",Norwegian Trench,high,17,"4,850700","0,075617","10,552205","0,8847674"
21.03.18,12:00,"58,28639","4,98779",Norwegian Trench,high,17,"5,286400","0,110722","11,337819","1,0664298"
22.03.18,12:00,"58,28639","4,98779",Norwegian Trench,high,17,"5,285800","0,095627","11,538608","0,9248176"
23.03.18,12:00,"58,28639","4,98779",Norwegian Trench,high,17,"5,630400","0,098503","9,289853","0,9121424"
24.03.18,12:00,"58,28639","4,98779",Norwegian Trench,high,17,"5,815900","0,100584","6,818473","0,8892808"
25.03.18,12:00,"58,28639","4,98779",Norwegian Trench,high,17,"6,016000","0,104155","7,628612","1,1913365"
26.03.18,12:00,"58,28639","4,98779",Norwegian Trench,high,17,"5,929700","0,070105","9,598395","1,0311219"
27.3.18,12:00,"58,28639","4,98779",Norwegian Trench,high,17,"6,006700","0,135262","11,351974","0,9130016"